timestamp_ms,spacing_m,rel_speed_mps,ego_speed_mps,ttc_s,ttc_s_smoothed,ttc_s_clipped,risk_level_clipped
3600,0.5616103899452867,0.0082721600000006,16.50621848,67.89162563891938,26.161763820339687,5.0,Safe
3700,0.561329946947069,0.0798252100000027,16.50870515,7.031988352389547,20.19335433164779,5.0,Safe
3800,0.5605239069105608,0.1573763800000058,16.515,3.56167746971013,16.49709031690699,5.0,Safe
3900,0.5603099238526568,0.2448772300000037,16.52252564,2.2881258655721,3.1913833531616045,3.1913833531616045,Safe
4000,0.5605743560181509,0.3274317400000015,16.53187975,1.712034257943803,2.012667112001832,2.012667112001832,Safe
4100,0.5607242703196107,0.4113623700000026,16.54172562,1.3630908201924428,1.4966277849710967,1.4966277849710967,Caution
4200,0.5600327930038418,0.491944200000006,16.54377161,1.1384071465906802,1.2153954600007797,1.2153954600007797,Caution
4300,0.5580068442370987,0.5685356500000012,16.55146435,0.9814808345564566,1.0292695769053533,1.0292695769053533,Caution
4400,0.55707117508436,0.631625580000005,16.555,0.881964240720516,0.8970949979115636,0.8970949979115636,Caution
4500,0.5551235730904409,0.7104173700000054,16.56898638,0.781404842466671,0.8069833570083198,0.8069833570083198,Caution
4600,0.5553909826174959,0.7909097200000019,16.56620735,0.7022179252234939,0.7351668948181713,0.7351668948181713,Caution
4700,0.5571219299632446,0.8099480800000052,16.57595926,0.6878489420744612,0.6769799388766711,0.6769799388766711,Caution
4800,0.5550786171515654,0.8918379400000056,16.57817503,0.6223985236057146,0.6321733597042506,0.6321733597042506,Caution
4900,0.5545714954648133,0.9383144700000016,16.59128901,0.5910294610130145,0.5987943320057292,0.5987943320057292,Brake
5000,0.5527972271733006,0.99179234,16.59157913,0.5573719466045691,0.564268385842704,0.564268385842704,Brake
5100,0.5499234480775783,1.0272745000000008,16.6028615,0.5353227867308864,0.5388896553137912,0.5388896553137912,Brake
5200,0.5466649975554958,1.0610338000000006,16.60770254,0.5152192112593355,0.515509431377339,0.515509431377339,Brake
5300,0.5447319073426513,1.0993472300000064,16.61122254,0.4955048709611503,0.4952891507077995,0.4952891507077995,Brake
5400,0.5418903940536381,1.1429192199999996,16.61640362,0.4741283413307533,0.4770051067317697,0.4770051067317697,Brake
5500,0.5374537526606673,1.1779277900000018,16.62071692,0.4562705432568719,0.459428412053844,0.459428412053844,Brake
5600,0.536888657529488,1.2094741000000049,16.62510301,0.4439025668507377,0.4421002940266008,0.4421002940266008,Brake
5700,0.5364330304326188,1.2552964400000055,16.63331941,0.4273357378697069,0.4264887925914037,0.4264887925914037,Brake
5800,0.5339663328954884,1.3059745199999997,16.63689865,0.4088642808249342,0.4123886657765574,0.4123886657765574,Brake
5900,0.5305179462037302,1.3394521899999994,16.64,0.3960708341547677,0.3996125397589624,0.3996125397589624,Brake
6000,0.5276110470008177,1.3676832599999995,16.64513473,0.3857699091826406,0.3885880138173175,0.3885880138173175,Brake
6100,0.5246484395262883,1.3805740899999996,16.64482471,0.3800219367627625,0.3807870628311911,0.3807870628311911,Brake
6200,0.5225088939428986,1.4037896100000076,16.645468599999994,0.3722131081614828,0.3744294187993789,0.3744294187993789,Brake
6300,0.5209164142927136,1.4084169200000003,16.64976485,0.3698595258943022,0.3698148703130587,0.3698148703130587,Brake
6400,0.5199644318244623,1.4273654899999997,16.6488243,0.3642826139957064,0.3666290530881774,0.3666290530881774,Brake
6500,0.5205834906215898,1.4353117100000006,16.65004273,0.3626971667510394,0.3649248588083104,0.3649248588083104,Brake
6600,0.524289161040457,1.439987519999999,16.65001779,0.3640928506383564,0.3628760996999534,0.3628760996999534,Brake
6700,0.5250290781976048,1.4436085499999969,16.64978397,0.3636921367621478,0.3611654289392321,0.3611654289392321,Brake
6800,0.5261239018000481,1.463016930000002,16.65068452,0.3596157303525171,0.3579686085471462,0.3579686085471462,Brake
6900,0.5283337679624935,1.4852131300000018,16.65817502,0.3557292601920997,0.3529392124354757,0.3529392124354757,Brake
7000,0.5286164798872903,1.524651170000002,16.65534883,0.3467130647906102,0.3468672860618977,0.3468672860618977,Brake
7100,0.5303349535639938,1.564659729999999,16.64882965,0.338945870080004,0.3405749221650872,0.3405749221650872,Brake
7200,0.531742948446805,1.5952328099999988,16.64690874,0.3333325048942577,0.3343950997676846,0.3343950997676846,Brake
7300,0.5341645847908296,1.6277867400000048,16.64557052,0.3281539108684643,0.3291241678596599,0.3291241678596599,Brake
7400,0.538119925221423,1.6566194000000003,16.65,0.3248301482050874,0.3244044138072192,0.3244044138072192,Brake
7500,0.541410808182718,1.6900159300000013,16.64998407,0.3203584052504863,0.3199892221833232,0.3199892221833232,Brake
7600,0.5420573134837525,1.718922780000003,16.65010116,0.3153470998178007,0.3157819679056876,0.3157819679056876,Brake
7700,0.5440058165392827,1.747773089999999,16.64572054,0.3112565467747778,0.3117443805772613,0.3117443805772613,Brake
7800,0.544222085297065,1.7720313500000024,16.64226359,0.3071176394802858,0.3077515663695583,0.3077515663695583,Brake
7900,0.5450212605407785,1.7890536499999996,16.64002038,0.3046422115629559,0.3041462913872895,0.3041462913872895,Brake
8000,0.5445330013795342,1.81272727,16.63818182,0.3003943342119712,0.300358842160347,0.300358842160347,Brake
8100,0.5440969265788169,1.8300000000000016,16.63333333,0.297320724906457,0.2963175201491162,0.2963175201491162,Brake
8200,0.5423851764254266,1.855454550000001,16.63,0.2923193006400649,0.2913698084791741,0.2913698084791741,Brake
8300,0.5387551558895609,1.8777777799999988,16.62444444,0.286911029424132,0.2860357871008906,0.2860357871008906,Brake
8400,0.5362445074743505,1.9158181799999987,16.616,0.2799036532132453,0.2806070524024523,0.2806070524024523,Brake
8500,0.5313291414653349,1.9411111199999984,16.61444444,0.273724227320554,0.2755089865590094,0.2755089865590094,Brake
8600,0.5283189417918379,1.955454539999998,16.60636364,0.2701770514142653,0.2712995950573895,0.2712995950573895,Brake
8700,0.5253565973645777,1.9688888899999988,16.6,0.2668289714228506,0.2682963152831745,0.2682963152831745,Brake
8800,0.5222778857569779,1.9644545500000028,16.59454545,0.2658640719160324,0.2666339661861051,0.2666339661861051,Brake
8900,0.5192881970902761,1.9604121700000008,16.5884671,0.2648872543421701,0.2657903977485626,0.2657903977485626,Brake
9000,0.514766595500447,1.939496560000002,16.58356297,0.265412481835207,0.2655977284740519,0.2655977284740519,Brake
9100,0.5093541678639326,1.915158980000001,16.57466364,0.2659592092265532,0.2651383664690159,0.2651383664690159,Brake
9200,0.5030097759917851,1.8919699599999973,16.56735434,0.2658656250502972,0.264456835135809,0.264456835135809,Brake
9300,0.4946337732436632,1.87668897,16.55833333,0.2635672618908519,0.2635675686217248,0.2635675686217248,Brake
9400,0.4852213772901166,1.855675859999998,16.5515301,0.2614795976761357,0.2619226290203587,0.2619226290203587,Brake
9500,0.4782491774138009,1.83261001,16.55078344,0.260966149264786,0.2593073290594772,0.2593073290594772,Brake
9600,0.4714128928334844,1.8290639099999983,16.54236109,0.2577345112197226,0.2567071500924797,0.2567071500924797,Brake
9700,0.4629822110619557,1.83149576,16.53245265,0.2527891252458896,0.2533590252492129,0.2533590252492129,Brake
9800,0.4568852769835985,1.8234102300000004,16.52909091,0.2505663670558645,0.249305835694263,0.249305835694263,Brake
9900,0.4503252373720556,1.84002258,16.52017321,0.2447389734598016,0.2448703056481225,0.2448703056481225,Brake
10000,0.4395543576337672,1.82614869,16.51750689,0.240700201490037,0.2401583967123489,0.2401583967123489,Brake
10100,0.4276844403638051,1.81563143,16.51317031,0.2355568609890198,0.235278496012516,0.235278496012516,Brake
10200,0.4130806189201621,1.8020388900000024,16.50551491,0.2292295805670218,0.2308617510012029,0.2308617510012029,Brake
10300,0.4006010831874391,1.7712633800000006,16.50123662,0.2261668635566998,0.2259340235687683,0.2259340235687683,Brake
10400,0.3902125207149822,1.752541309999998,16.49730557,0.222655248403236,0.2214101693376339,0.2214101693376339,Brake
10500,0.377387533079542,1.7466666700000033,16.48888889,0.2160615643278641,0.2168481290548719,0.2168481290548719,Brake
10600,0.365851507776,1.718116130000002,16.48841408,0.2129375898333482,0.2120730293459198,0.2120730293459198,Brake
10700,0.3556296707221804,1.7228502100000007,16.48373019,0.2064193791532116,0.2074022303753643,0.2074022303753643,Brake
10800,0.3449103720629125,1.705017770000001,16.4775,0.202291365011939,0.2033525091772448,0.2033525091772448,Brake
10900,0.3364571655006898,1.6881838900000012,16.47181611,0.1993012535504586,0.1990986969622458,0.2,Brake
11000,0.3270422621123998,1.670176810000001,16.47125075,0.195812958337267,0.1958245564642344,0.2,Brake
11100,0.3167097112209376,1.6523824400000002,16.46263464,0.191668528758353,0.1930009946849201,0.2,Brake
11200,0.3065102833653839,1.6127988299999991,16.4599513,0.1900486766631546,0.1902811792181955,0.2,Brake
11300,0.2963427444528008,1.5748373499999957,16.4575,0.1881735561153675,0.1878718976369788,0.2,Brake
11400,0.2854549636992658,1.5371654199999971,16.45,0.1857021762168357,0.1862559536590577,0.2,Brake
11500,0.274955967256318,1.496224239999993,16.44807056,0.1837665504311835,0.1852484322498787,0.2,Brake
11600,0.2658153466732074,1.447884259999995,16.446632,0.1835888088687477,0.1844814961283854,0.2,Brake
11700,0.2590116566343567,1.3999792399999968,16.43973083,0.185011069617259,0.1840682625449467,0.2,Brake
11800,0.2505808015641833,1.3593486499999976,16.43961417,0.1843388755079013,0.1834778013272976,0.2,Brake
11900,0.2402593359149989,1.3083454499999974,16.43240061,0.1836360082996424,0.1827208334764182,0.2,Brake
12000,0.2299925798689344,1.2719826399999974,16.42937658,0.1808142443429376,0.1818120901461747,0.2,Brake
12100,0.2206657720370231,1.227257509999994,16.42654794,0.179803969614351,0.1813417967379562,0.2,Brake
12200,0.2131965980867676,1.1813582599999926,16.41831296,0.1804673529660417,0.1813448024441348,0.2,Brake
12300,0.2057152971270852,1.1303820349999896,16.419162975000006,0.1819874084668084,0.1823821350344529,0.2,Brake
12400,0.1982339961674029,1.0794058099999937,16.42001299,0.1836510368305355,0.1839735486570086,0.2,Brake
12500,0.1915826568817635,1.0300092599999893,16.419552300000007,0.1860009072945281,0.1852016657329742,0.2,Brake
12600,0.1859543972668973,0.9903779799999946,16.4168777,0.1877610377271295,0.1862554008109835,0.2,Brake
12700,0.1783756787615971,0.955884729999994,16.41569565,0.1866079383458696,0.1869132470217334,0.2,Brake
12800,0.1695404692478632,0.905393649999997,16.40900585,0.1872560838568547,0.1862670431057994,0.2,Brake
12900,0.1619612644239225,0.8663797599999974,16.40657118,0.1869402678842855,0.1838191990105887,0.2,Brake
13000,0.1548091014591364,0.8470164499999946,16.40087537,0.1827698877148577,0.1802750099457693,0.2,Brake
13100,0.1465511251373357,0.8349453499999981,16.39531131,0.1755218172510764,0.1743820946408856,0.2,Brake
